CustomerID,Age,AnnualIncome_k,Tenure_Months,Recency_Days,Frequency_Purchases,MonetaryTotal,AvgOrderValue,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,NumWebVisitsPerMonth,NumDealsPurchases,DiscountUsageRate,CartAbandonRate,ReturnRate,NumComplaints,LoyaltyPoints,EmailOpenRate,AppSessionMinPerMonth,SocialEngagementScore,WishlistItems,ReviewsWritten,CustomerServiceContacts,Spend_Electronics,Spend_Apparel,Spend_Grocery,Spend_HomeGoods,Spend_Beauty,Cluster,PC1,PC2,PC3,SilhouetteSample
CUST00001,32.0,46.0,28.0,17.2,29.0,962.47,28.84,9.0,6.4,13.7,12.7,13.9,0.504,0.095,0.152,0,1504.0,0.41,76.9,41.5,9,3,1,317.78,29.35,566.98,22.69,25.68,3,1.0534307170641461,1.9258410802098844,2.5957841077050303,0.5024621009601369
CUST00002,42.5,91.4,22.2,35.9,12.7,964.17,74.89,5.5,4.4,2.7,7.0,2.7,0.256,0.226,0.102,0,2450.0,0.207,25.0,20.6,5,0,0,361.35,84.72,122.69,238.6,156.81,2,-0.44089299782729635,-0.8571768243179394,-0.3179625529124485,0.7487997415123345
CUST00003,43.4,61.1,117.5,156.7,2.2,103.16,41.86,0.9,1.0,0.4,2.1,0.4,0.312,0.265,0.173,2,415.0,0.065,10.1,6.7,1,1,1,33.7,15.95,30.45,8.72,14.35,0,-4.163300831975047,-2.8626586610371403,0.05088889580353832,0.8399874397231678
CUST00004,26.1,70.4,13.7,11.8,10.1,612.14,62.07,5.2,4.7,0.2,33.6,8.8,0.533,0.476,0.134,0,973.0,0.273,310.2,96.9,15,5,0,177.35,151.48,6.33,17.68,259.3,3,0.3532651291298733,4.51808076253917,-2.767498171387843,0.6300931081422744
CUST00005,42.4,68.2,65.9,7.7,40.0,5946.48,146.65,15.9,16.2,7.9,11.3,2.1,0.088,0.093,0.025,0,5180.0,0.571,159.8,21.0,7,5,0,909.67,2294.86,292.81,1237.38,1211.76,1,7.583711617740051,-2.403357157572879,-0.21244097793384348,0.6773166133932444
CUST00006,46.6,118.7,60.8,6.3,34.5,4567.6,128.19,12.8,7.0,14.6,7.7,1.9,0.103,0.035,0.027,0,2872.0,0.374,124.2,58.9,5,7,0,1324.22,1635.72,359.55,101.79,1146.32,1,5.983729432713697,-2.290307934012116,-0.5181132031729955,0.7280954999171569
CUST00007,49.1,147.8,46.0,11.0,43.8,10308.79,202.2,14.5,13.8,15.5,12.6,3.1,0.052,0.132,0.028,1,4255.0,0.83,67.6,37.7,3,4,0,839.73,3891.66,5.23,4600.07,972.1,1,11.119733829413118,-4.858919053837995,-0.36627367906129243,0.499885373504812
CUST00008,43.8,67.8,24.5,32.3,7.6,513.64,67.0,3.9,3.8,0.0,1.9,4.0,0.331,0.176,0.064,0,734.0,0.157,38.7,24.1,5,1,0,115.22,61.44,49.94,8.18,278.85,2,-1.4311776820403885,-0.6030180912941919,-0.4047617977481981,0.6890204916340518
CUST00009,45.6,60.4,48.3,149.4,3.5,127.67,32.3,1.7,1.6,0.1,1.9,1.0,0.257,0.217,0.163,1,333.0,0.033,8.3,4.9,0,0,1,2.96,18.47,52.87,29.5,23.86,0,-3.880678287806711,-1.9422098165147763,-0.1686884512055075,0.7650225842947468
CUST00010,54.2,77.5,93.1,98.3,2.0,63.04,32.24,1.1,1.0,0.0,3.0,1.2,0.229,0.091,0.158,3,211.0,0.072,7.2,2.6,0,0,1,0.56,22.37,20.72,11.36,8.04,0,-4.058463244190044,-3.2130622046964348,0.14009651603680848,0.7943337082574662
